,title,date,content
17,AMD 라이젠9 5950X + RTX3080Ti 화이트튜닝 최고사양 컴퓨터사양 출고,4일 전,오늘 포스팅은 일반적인 AMD 라이젠 cpu구성 사양으로는 최상위 단계 AMD 라이젠9 4세대 5950X cpu !!! 그래픽카드의 최상위급 단계 : RTX 3080 Ti 장착으로~ 하이앤드 - 최고의 성능비를 갗춘 컴퓨터라 할수...
18,"게이밍 노트북, 라이젠9와 RTX3070의 조합! 기가바이트 A7 X1 R9 리뷰",2021.07.30.,이 제품은 라이젠9 4세대와 RTX3070이 함께 들어있는 모델이라 많은 사람이 관심을 두고 있을 것 같은... 라이젠 세잔 5900HX가 탑재된 모델이다. 요즘에는 노트북에 사용이 되는 모바일 프로세서도 라이젠을 많이 찾는...
19,라이젠 오버클럭 질문,2021.08.13.,라이젠 5600x asrock B450 스틸레전드 사용중인데요 오버클럭하면 더좋다고해서 설정해보려는데... 부탁드리겠습니다ㅠㅠ CPU:라이젠5600x 그래픽카드: 기가바이트 1070Ti 8GB 메인보드: B450스틸레전드...
20,AORUS B450 ELITE 라이젠 메인보드,2021.08.14.,이래서 amd cpu를 많이 사용하는거겠지요 라이젠 5000번대를 사용하려면 21년 7월에 나온 F62 바이오스 업데이트를 하고 쓰라고 권장을 해드리고 있으니 참고하시길 바란다. 그래도 B450 라이젠 메인보드...
21,라이젠 9 5900X를 장착하여 쾌적한 모바일게임 다중 클라이언트가 가능한 조립 컴퓨터,2021.07.06.,선택된 라이젠 9 5900X가 이 분야에 있어서는 거의 끝판왕이라고 보셔도 무방합니다. 물론 위로 한... AMD 라이젠9-4세대 5900X(버미어). 모바일 게임 다중 클라이언트 실행용 조립 컴퓨터에서 가장...
22,[CPU수리기 #239] 라이젠5 Pro 4650G 수리기,6일 전,"제가 활동하는 카페분께서 라이젠5 Pro 4650G CPU 핀이 부러지고, 핀들이 휘어져서 수리문의를 주셨습니다.... 짜짠~부팅이 됩니다.^^ 바이오스상에서 - 라이젠5 Pro 4650G 확인 - 메모리 4+4+4+4GB 확인 했습니다. 내장비디오..."
23,AMD 라이젠5 3600 리뷰,2021.07.22.,"라이젠 3600은 7나노 ZEN 2 아키텍처의 6코어 12 스레드, 기본 클럭 3.6Ghz, 최대 4.2Ghz, L3 캐시 32MB, TDP 65W... 지금은 ZEN 3기반의 라이젠 4세대(버미어)가 나와있지만 라이젠 3600 특유의 가성비로 여전히 매력적인..."
24,안녕하세요.! 선배님들 라이젠 스토어 달고 매출이 늘고 있네요!,2021.08.08.,"라이젠 선배님들 ! 스토어 간판을 단지 얼마 되지 않았지만, 매출이 점점 늘고 있네요.! 덕분에 토요일... 라이젠 가족 여러분 덕분에 제가 좀 다시 한번 영업방법과 매출 증대에 대한 노력을 하게 되네요.! 오늘도 역시나..."
25,라이젠 5900x 온도가 너무 높은데 원래 그런가요?,2021.08.10.,CPU : 라이젠 5900X 램 : 삼성 DDR 25600 8 x 4 32Gb 그래픽카드 : 조택 rtx twin 3070 메인보드 : ASUS TUF Gaming B550-PRO 대원CTS 쿨러 : 리안리 GALAHAD AIO 360 ARGB (WHITE) 파워 : 쿨러마스터 MWE 700 WHITE 230V V2 이틀전 라이젠...
26,AMD 라이젠 5 5600X + RTX3060 게임용 조립 PC 인기,2021.07.22.,AMD 라이젠 5 5600X + RTX3060 게임용 조립 PC 인기 안녕하세요^^ 21년 한자리를 지키고 있는 최종문 실장... 요즘 제일 많이 판매되고 있는 프로세서는 AMD 라이젠 5 5600X입니다. 강력한 성능을 지원하며 가격대 인하로...
27,AMD 라이젠 9 5950X,2021.07.12.,"기존 라이젠 7 5800X 8코어 제품을 사용하다 좋은 기회가 생겨 16코어로 업그레이드를 했습니다. 차이야... 개인적으로 영상편집이나 작업용 PC를 구해야하는 경우라면 또는 추천을 원한다면 라이젠 7 5600X, 5800X 정도나 그..."
28,인텔?? 라이젠??,2021.08.08.,인식 문제로 인텔이절다고 사람들은 많이 알더라구요 라이젠은 린2 컴 할때 맞쳐보고 사용 해본적없네요 ✅Q4 :: 언제부터 증상이 생겼나요? => 답변 : ✅Q5 :: 최근에 추가하거나 변경된게 있나요? => 답변...
29,라이젠 + 2 in 1 + 램업가능 = Inspiron 7405 2 in 1,2일 전,"그래서 얘들을 적절히 다 합치고, 하나로 써야겠다는 생각을 했으며, 기왕이면 라이젠이 들어간 제품을... 라이젠 내장그래픽이 너무 괜찮게 나와서 내가 덕분에 가볍게 잘 사용할 수 있게 된듯... ...아마 XPS 15..."
30,AMD 라이젠™ 5600X 사용 후기,6일 전,라이젠CPU 5600x 만족 후기입니다. 대학교때 이후로 늘 노트북만 쓰던 컴린이가 작년 연말에 친구들과 카페 여러사람들의 도움으로 라이젠 5600X cpu와 지포스 3070 그래픽카드로 컴퓨터 견적짜서 구매했었습니다....
31,"라이젠 5600x 메인보드 추천, ASUS ROG STRIX B550-XE GAMING WiFi",2021.07.24.,"최근 AMD 라이젠5 4세대 5600X가 20만 원 후반대에서 30만 원 초반대의 적정 수준으로 내려오는 것은 물론, 그래픽 카드의 가격도 어느 정도 내려가는 추세를 보이고 있다 보니 라이젠 CPU를 기반으로 한 게이밍..."
32,레노버 노트북 Legion 5 Pro (리전 5 프로) amd 라이젠7 82JQ003NKR,2021.08.11.,레노버 노트북 Legion 5 Pro (리전 5 프로) amd 라이젠7 82JQ003NKR Legion 5 Pro는 게임이 펼쳐지는 경기장 안팎에서 강력한 파괴력을 제공할 수 있도록 설계되었습니다. Ryzen...
33,사무작업에 좋은 라이젠 노트북 에이서 아스파이어 5 A515-45 테라4,2021.08.04.,지난 포스팅에 이어 라이젠 4세대 CPU가 적용된 에이서 아스파이어 5 A515-45 테라4의 성능에 사용에 대해 보다 자세히 알아보겠습니다. * 개봉기 1. 하드웨어 구성 CPU의 경우 6코어 12쓰레드를 갖추고 있는 라이젠 5...
34,hp 에어로13 라이젠 5800u 구매했습니다.,2021.07.21.,무게 1키로 이하에 라이젠 세잔 5800u을 달고도 80만원 이하로 가능하길래 바로 구매했습니다. 3200 8기가 램과 완전 별로인 hp 로고가 아쉽지만 가격과 라이젠 세잔에 대한 믿음으로 넘어갑니다.(ㅡ형 방향키도 좀...
35,대구조립컴퓨터 라이젠5600x + RTX3060 오딘!,2021.07.12.,라이젠5 4세대 5600X 비미어 ASUS TUF Gaming B550M-PLUS STCOM 삼성전자 DDR4-3200 (8GB) (정품) / PC4-25600 X4 32GB... AMD 라이젠5-4세대 5600X (버미어) (정품) 최근 라이젠 CPU가 워낙 성능이 잘나와서 다중엡플레이어 실행이나...
36,"오버용 라이젠 메인보드 추천, ASUS B550-XE 리뷰 (동급 최강의 안정성)",2021.07.11.,"인텔도 그렇지만, 라이젠 메인보드는 B 시리즈보다 X 시리즈가 고급이고 전원부가 빵빵하다는게 보편적인 상식이었습니다. 그렇다면 전원부에 몰빵한 안정성 끝판왕 하이엔드급 B550 메인보드는 없는걸까요? 라이젠..."
37,[CPU] AMD 라이젠5-4세대 5600X 버미어,5일 전,AMD의 6코어 12스레드 CPU인 라이젠 5600X 리뷰입니다. 기본적인 스펙은 다음과 같습니다. 제품명 라이젠5-4세대 5600X 버미어 제조사 AMD 소켓 AM4 코어/쓰레드 6코어 / 12쓰레드 클럭 기본 3.7GHz / 최대 4.6GHz L3캐시 32MB...
38,"15U490-GR3MK 629,000원 15.6 FULLHD 라이젠 3 2300 12G RAM 게임 그래픽용 LG노트북",2021.08.22.,2020년 신제품으로 라이젠 3 2300U 쿼드코어 CPU 와 VEGA6 (6코어) 카드 탑재로 4K 비디오및 1080 영상... 특징 1.라이젠 3 2300U 쿼드코어 CPU 와 VEGA6 (6코어) 카드 탑재로 4K 비디오및 1080 영상 편집에 탁월한 성능을...
39,AMD 라이젠 7 5700G 리뷰 | 불행한 시대의 합리적인 선택,2021.08.06.,뉴스 AMD 라이젠 7 5700G 리뷰 | 불행한 시대의 합리적인 선택AMD 라이젠 5000G는 여전히 GPU 부족과 가격 상승에 시달리는 PC 업계에서 완벽한 해법으로 보인다. 고성능 젠 3코어와 라데온 그래픽을 가속 프로세싱 유닛...
40,AMD 라이젠5-4세대 5600X (버미어) (멀티팩) + 이엠텍 지포스 RTX 3060 STORM X Dual OC D6 12GB...,7시간 전,앱코 NCORE G30 트루포스 케이스와 AMD 라이젠5-4세대 5600X (버미어) (멀티팩) + 이엠텍 지포스 RTX 3060 STORM X Dual OC D6 12GB 조합으로 구성된 조립 PC가 제작 되었습니다 아래 견적서 확인하시죠 저장장치의 경우...
41,라이젠 5800X와 RTX3090 조합의 4K 영상편집용 컴퓨터,2021.07.12.,이번 포스팅에 소개해 드리는 시스템은 AMD 라이젠 5800X와 최고사양 그래픽카드인 RTX 3090 조합으로... 4K급 고해상도 영상편집용 컴퓨터 사양 4K 영상편집용 컴퓨터 추천 사양 AMD 라이젠 5 5800X 버미어 EVGA CLC...
