공공기관,도로명주소,위도,경도
서울특별시청,서울특별시 중구 세종대로 110(태평로1가),37.5663174209601,126.977829174031
성북구청,서울특별시 성북구 보문로 168(삼선동5가),37.5894562819309,127.01684955359
길음2동주민센터,서울특별시 성북구 삼양로2길 70(길음동),37.6068073305341,127.027279365525
